Country,Capital,Population,Area (km²)
Andorra,N/A,N/A,N/A
United Arab Emirates,N/A,N/A,N/A
Afghanistan,N/A,N/A,N/A
Antigua and Barbuda,N/A,N/A,N/A
Anguilla,N/A,N/A,N/A
Albania,N/A,N/A,N/A
Armenia,N/A,N/A,N/A
Angola,N/A,N/A,N/A
Antarctica,N/A,N/A,N/A
Argentina,N/A,N/A,N/A
American Samoa,N/A,N/A,N/A
Austria,N/A,N/A,N/A
Australia,N/A,N/A,N/A
Aruba,N/A,N/A,N/A
Åland,N/A,N/A,N/A
Azerbaijan,N/A,N/A,N/A
Bosnia and Herzegovina,N/A,N/A,N/A
Barbados,N/A,N/A,N/A
Bangladesh,N/A,N/A,N/A
Belgium,N/A,N/A,N/A
Burkina Faso,N/A,N/A,N/A
Bulgaria,N/A,N/A,N/A
Bahrain,N/A,N/A,N/A
Burundi,N/A,N/A,N/A
Benin,N/A,N/A,N/A
Saint Barthélemy,N/A,N/A,N/A
Bermuda,N/A,N/A,N/A
Brunei,N/A,N/A,N/A
Bolivia,N/A,N/A,N/A
Bonaire,N/A,N/A,N/A
Brazil,N/A,N/A,N/A
Bahamas,N/A,N/A,N/A
Bhutan,N/A,N/A,N/A
Bouvet Island,N/A,N/A,N/A
Botswana,N/A,N/A,N/A
Belarus,N/A,N/A,N/A
Belize,N/A,N/A,N/A
Canada,N/A,N/A,N/A
Cocos [Keeling] Islands,N/A,N/A,N/A
Democratic Republic of the Congo,N/A,N/A,N/A
Central African Republic,N/A,N/A,N/A
Republic of the Congo,N/A,N/A,N/A
Switzerland,N/A,N/A,N/A
Ivory Coast,N/A,N/A,N/A
Cook Islands,N/A,N/A,N/A
Chile,N/A,N/A,N/A
Cameroon,N/A,N/A,N/A
China,N/A,N/A,N/A
Colombia,N/A,N/A,N/A
Costa Rica,N/A,N/A,N/A
Cuba,N/A,N/A,N/A
Cape Verde,N/A,N/A,N/A
Curacao,N/A,N/A,N/A
Christmas Island,N/A,N/A,N/A
Cyprus,N/A,N/A,N/A
Czech Republic,N/A,N/A,N/A
Germany,N/A,N/A,N/A
Djibouti,N/A,N/A,N/A
Denmark,N/A,N/A,N/A
Dominica,N/A,N/A,N/A
Dominican Republic,N/A,N/A,N/A
Algeria,N/A,N/A,N/A
Ecuador,N/A,N/A,N/A
Estonia,N/A,N/A,N/A
Egypt,N/A,N/A,N/A
Western Sahara,N/A,N/A,N/A
Eritrea,N/A,N/A,N/A
Spain,N/A,N/A,N/A
Ethiopia,N/A,N/A,N/A
Finland,N/A,N/A,N/A
Fiji,N/A,N/A,N/A
Falkland Islands,N/A,N/A,N/A
Micronesia,N/A,N/A,N/A
Faroe Islands,N/A,N/A,N/A
France,N/A,N/A,N/A
Gabon,N/A,N/A,N/A
United Kingdom,N/A,N/A,N/A
Grenada,N/A,N/A,N/A
Georgia,N/A,N/A,N/A
French Guiana,N/A,N/A,N/A
Guernsey,N/A,N/A,N/A
Ghana,N/A,N/A,N/A
Gibraltar,N/A,N/A,N/A
Greenland,N/A,N/A,N/A
Gambia,N/A,N/A,N/A
Guinea,N/A,N/A,N/A
Guadeloupe,N/A,N/A,N/A
Equatorial Guinea,N/A,N/A,N/A
Greece,N/A,N/A,N/A
South Georgia and the South Sandwich Islands,N/A,N/A,N/A
Guatemala,N/A,N/A,N/A
Guam,N/A,N/A,N/A
Guinea-Bissau,N/A,N/A,N/A
Guyana,N/A,N/A,N/A
Hong Kong,N/A,N/A,N/A
Heard Island and McDonald Islands,N/A,N/A,N/A
Honduras,N/A,N/A,N/A
